Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.
Melhor: Treinamento: 0.085253  Validacao: 0.151667  Teste: 0.171151  SRG: 0.438560

Tempo Total(1 experimentos): 1.371543 s


             Etapa 2 - SRG

                RMSE

Exp 1 - Treinamento: 0.066327  Validacao: 0.119045  Teste: 0.148981  SRG: 0.422448

Média: Treinamento: 0.066327  Validacao: 0.119045  Teste: 0.148981

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.066327  Validacao: 0.119045  Teste: 0.148981  SRG: 0.422448

                fit

Exp 1 - Treinamento: 92.609869  Validacao: 82.718848  Teste: 81.902911  SRG: 0.422448

Média: Treinamento: 92.609869  Validacao: 82.718848  Teste: 81.902911

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 92.609869  Validacao: 82.718848  Teste: 81.902911  SRG: 0.422448
                RRSE

Exp 1 - Treinamento: 0.073901  Validacao: 0.172812  Teste: 0.180971  SRG: 0.422448

Média: Treinamento: 0.073901  Validacao: 0.172812  Teste: 0.180971

